epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,8857.67,0.83155,0.51634,1.02274,0.8914,0.90769,0.93765,0.72574,0.78375,0.44974,1.04496,0.00208,0.00208,0.00208
122,8930.3,0.83167,0.51737,1.02066,0.88994,0.90467,0.93649,0.72465,0.78374,0.45089,1.04466,0.002014,0.002014,0.002014
123,9003.53,0.83202,0.51039,1.0172,0.8871,0.91041,0.93842,0.72389,0.78327,0.44782,1.0434,0.001948,0.001948,0.001948
124,9077.21,0.82427,0.51024,1.01701,0.88936,0.90951,0.93712,0.72532,0.78202,0.44638,1.04385,0.001882,0.001882,0.001882
125,9151.08,0.82512,0.51086,1.01744,0.88934,0.90947,0.93785,0.72739,0.78129,0.44678,1.0428,0.001816,0.001816,0.001816
126,9224.36,0.81756,0.49922,1.01184,0.89351,0.91067,0.93986,0.72881,0.78155,0.44597,1.0427,0.00175,0.00175,0.00175
127,9298.13,0.82253,0.50163,1.01617,0.89227,0.90909,0.93929,0.72892,0.78031,0.44571,1.04198,0.001684,0.001684,0.001684
128,9371.18,0.82128,0.5031,1.01621,0.89645,0.90474,0.93842,0.72812,0.78142,0.44555,1.04335,0.001618,0.001618,0.001618
129,9444.79,0.81958,0.5052,1.02005,0.89655,0.90911,0.94008,0.72878,0.78168,0.44367,1.04314,0.001552,0.001552,0.001552
130,9518.06,0.80981,0.49676,1.01856,0.89267,0.91375,0.93915,0.72734,0.78067,0.44503,1.04361,0.001486,0.001486,0.001486
131,9590.39,0.81624,0.4974,1.01293,0.88938,0.9126,0.93743,0.72639,0.78201,0.44629,1.04433,0.00142,0.00142,0.00142
132,9664.63,0.81695,0.50147,1.01111,0.8894,0.90947,0.93674,0.72591,0.78181,0.44689,1.04453,0.001354,0.001354,0.001354
