epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,6568.81,0.81945,0.50563,1.01119,0.89445,0.89676,0.93557,0.71688,0.80809,0.45599,1.03468,0.001552,0.001552,0.001552
130,6619.88,0.82574,0.51359,1.018,0.8983,0.89246,0.93549,0.71591,0.80937,0.45959,1.035,0.001486,0.001486,0.001486
131,6670.39,0.82556,0.51302,1.01649,0.89727,0.89719,0.9372,0.71708,0.80646,0.45724,1.03373,0.00142,0.00142,0.00142
132,6720.78,0.82353,0.5087,1.01529,0.90227,0.89816,0.93735,0.71856,0.80483,0.45539,1.03286,0.001354,0.001354,0.001354
133,6771.04,0.82255,0.51631,1.01526,0.90304,0.89425,0.93725,0.71957,0.80362,0.45591,1.03236,0.001288,0.001288,0.001288
134,6821.84,0.81245,0.50244,1.00805,0.89902,0.89783,0.93736,0.71826,0.80325,0.45745,1.03191,0.001222,0.001222,0.001222
135,6873.15,0.82108,0.51001,1.0124,0.89572,0.90246,0.93773,0.71881,0.80321,0.45555,1.03165,0.001156,0.001156,0.001156
136,6923.83,0.81221,0.50238,1.01006,0.89435,0.90359,0.93819,0.72012,0.80327,0.455,1.03148,0.00109,0.00109,0.00109
137,6974.34,0.80813,0.49723,1.00629,0.8944,0.90373,0.93759,0.7198,0.80532,0.45558,1.03243,0.001024,0.001024,0.001024
138,7025.54,0.81207,0.4969,1.01361,0.89302,0.90179,0.93701,0.7186,0.80956,0.45598,1.03364,0.000958,0.000958,0.000958
139,7075.96,0.80436,0.49401,1.00298,0.89299,0.8989,0.93703,0.71849,0.80919,0.45509,1.03367,0.000892,0.000892,0.000892
140,7126.41,0.80426,0.49238,1.01404,0.89829,0.89832,0.93646,0.71872,0.80727,0.45608,1.03287,0.000826,0.000826,0.000826
141,7182.75,0.7743,0.47372,1.00897,0.90081,0.89981,0.93801,0.72614,0.77704,0.44838,1.0236,0.00076,0.00076,0.00076
142,7231.85,0.76042,0.45733,1.00291,0.90171,0.90046,0.9357,0.72838,0.7639,0.44764,1.02064,0.000694,0.000694,0.000694
143,7280.97,0.75464,0.45179,1.00389,0.8977,0.90266,0.93808,0.73057,0.757,0.44599,1.01925,0.000628,0.000628,0.000628
144,7331.9,0.74887,0.44668,1.00165,0.90165,0.89882,0.936,0.7315,0.75131,0.4449,1.01788,0.000562,0.000562,0.000562
145,7380.92,0.74905,0.44716,0.99963,0.90221,0.90102,0.93584,0.73151,0.74696,0.44476,1.01649,0.000496,0.000496,0.000496
146,7429.72,0.75384,0.44604,1.00169,0.9013,0.89969,0.93424,0.73228,0.74603,0.44376,1.01621,0.00043,0.00043,0.00043
147,7478.83,0.74421,0.44129,0.99673,0.9008,0.89995,0.93441,0.73302,0.74495,0.44388,1.01612,0.000364,0.000364,0.000364
148,7527.88,0.74449,0.43787,0.99249,0.90368,0.8964,0.93426,0.73315,0.74422,0.44396,1.01586,0.000298,0.000298,0.000298
149,7577.23,0.74091,0.43819,0.99192,0.90219,0.89797,0.93529,0.73319,0.74283,0.44262,1.01514,0.000232,0.000232,0.000232
150,7626.72,0.73579,0.43234,0.99842,0.90312,0.89834,0.9342,0.73309,0.74225,0.44288,1.01485,0.000166,0.000166,0.000166
