=== 每张图片各类藻密度 (Cells/L，含修正系数) ===
文件名,丝状藻,其他,小环藻,微囊藻,拟新月藻,栅藻,浮丝藻,长孢藻,合计密度
haiwanzhong2025-720241027_DL_161.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_162.jpg,0.00e+00,5.17e+07,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.40e+09
haiwanzhong2025-720241027_DL_163.jpg,5.17e+08,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_164.jpg,5.17e+08,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_165.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_166.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_167.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_168.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_169.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.19e+09
haiwanzhong2025-720241027_DL_17.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
haiwanzhong2025-720241027_DL_170.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_171.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_172.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.50e+09
haiwanzhong2025-720241027_DL_173.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.50e+09
haiwanzhong2025-720241027_DL_174.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_175.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.50e+09
haiwanzhong2025-720241027_DL_176.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_177.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_178.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_179.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.03e+09
haiwanzhong2025-720241027_DL_180.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,5.17e+08,1.71e+09
haiwanzhong2025-720241027_DL_181.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,5.17e+08,1.55e+09
haiwanzhong2025-720241027_DL_182.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,5.17e+08,1.55e+09
haiwanzhong2025-720241027_DL_183.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,1.03e+09,2.07e+09
haiwanzhong2025-720241027_DL_184.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+09,1.03e+09,2.59e+09
haiwanzhong2025-720241027_DL_185.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,1.03e+09,1.55e+09
haiwanzhong2025-720241027_DL_186.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,1.03e+09,1.19e+09
haiwanzhong2025-720241027_DL_187.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,1.03e+09,1.19e+09
haiwanzhong2025-720241027_DL_188.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,1.03e+09,1.71e+09
haiwanzhong2025-720241027_DL_189.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,1.03e+09,1.19e+09
haiwanzhong2025-720241027_DL_190.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,1.03e+09,1.71e+09
haiwanzhong2025-720241027_DL_191.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,1.03e+09,1.55e+09
haiwanzhong2025-720241027_DL_192.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,1.03e+09,1.71e+09
haiwanzhong2025-720241027_DL_193.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,1.03e+09,1.66e+09
haiwanzhong2025-720241027_DL_194.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,5.17e+08,9.83e+08
haiwanzhong2025-720241027_DL_195.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,5.17e+08,8.28e+08
haiwanzhong2025-720241027_DL_196.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,5.17e+08,9.83e+08
haiwanzhong2025-720241027_DL_197.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,0.00e+00,5.17e+08,1.29e+09
haiwanzhong2025-720241027_DL_198.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_199.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_2.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.50e+09
haiwanzhong2025-720241027_DL_200.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_201.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_202.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_203.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_204.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_205.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_206.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_207.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_208.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_209.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_210.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_211.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.21e+08
haiwanzhong2025-720241027_DL_212.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.76e+08
haiwanzhong2025-720241027_DL_213.jpg,0.00e+00,0.00e+00,0.00e+00,9.31e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.31e+08
haiwanzhong2025-720241027_DL_214.jpg,0.00e+00,0.00e+00,0.00e+00,1.09e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.09e+09
haiwanzhong2025-720241027_DL_215.jpg,0.00e+00,0.00e+00,0.00e+00,1.40e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.40e+09
